iter	Logloss
0	0.6868608355
1	0.6804210816
2	0.6743192065
3	0.6691039534
4	0.6622551888
5	0.6558046311
6	0.6515310445
7	0.6458369585
8	0.6401233252
9	0.6348571395
10	0.6288213327
11	0.6231003297
12	0.6188909122
13	0.6151565128
14	0.6097386361
15	0.6047144516
16	0.5998594503
17	0.595805334
18	0.5914410273
19	0.5866362177
20	0.581699039
21	0.5784798486
22	0.5740283683
23	0.5716629236
24	0.5676678045
25	0.5641957801
26	0.5604970214
27	0.5564354913
28	0.5529488273
29	0.549263926
30	0.5469444842
31	0.5433420341
32	0.540438744
33	0.5366108916
34	0.5345886572
35	0.5315824397
36	0.5289276697
37	0.5261563533
38	0.5229531116
39	0.5196364379
40	0.516982885
41	0.5137551409
42	0.5110605313
43	0.5084127495
44	0.5054802779
45	0.5026262708
46	0.500727752
47	0.4977495966
48	0.4955509281
49	0.4931452481
50	0.4919820974
51	0.4894614096
52	0.4877511395
53	0.4857130382
54	0.4832616634
55	0.4813981004
56	0.4792496317
57	0.4769349351
58	0.4746136722
59	0.4726434879
60	0.470926588
61	0.4688085496
62	0.4674570154
63	0.4658491072
64	0.4644215198
65	0.4628880007
66	0.4609842527
67	0.4592199968
68	0.4576194756
69	0.4560375154
70	0.4552819771
71	0.4543710508
72	0.4531443925
73	0.4519987484
74	0.4509734052
75	0.4497212174
76	0.4484882422
77	0.4474776842
78	0.4464899282
79	0.4450953767
80	0.4436435601
81	0.4426524397
82	0.4417520495
83	0.4403171059
84	0.4398129417
85	0.4387771891
86	0.4376921954
87	0.4363927063
88	0.4354328998
89	0.4344965434
90	0.4331182367
91	0.4323052456
92	0.4309768698
93	0.4299396305
94	0.4292309618
95	0.4280791799
96	0.426766807
97	0.4263933935
98	0.4253977267
99	0.4248628252
100	0.4239122221
101	0.4229352683
102	0.4220578345
103	0.4214789989
104	0.4205783587
105	0.4198545211
106	0.4191784775
107	0.4184557307
108	0.4178166011
109	0.4171377415
110	0.4162570443
111	0.4153098718
112	0.4144431335
113	0.4135927795
114	0.4126996168
115	0.412351025
116	0.4115911158
117	0.4108108944
118	0.4099609775
119	0.4092303929
120	0.408633858
121	0.4080936266
122	0.4072150886
123	0.4066707931
124	0.4061452545
125	0.4055880323
126	0.4048294666
127	0.4042781169
128	0.4040186377
129	0.4033129264
130	0.4026636107
131	0.4020851756
132	0.4014420718
133	0.4010459056
134	0.4006999625
135	0.4002753167
136	0.3997278369
137	0.3992826544
138	0.3988982831
139	0.3982755059
140	0.3976728387
141	0.3971312267
142	0.3964530651
143	0.3958980437
144	0.3954575792
145	0.3949894906
146	0.3943499976
147	0.3941765526
148	0.3935076953
149	0.3929150323
150	0.3927608057
151	0.3925884235
152	0.3921133819
153	0.3917564771
154	0.3912058231
155	0.3907148416
156	0.3902920577
157	0.3898170031
158	0.3894624322
159	0.3893608188
160	0.388961272
161	0.3883864273
162	0.3879840911
163	0.3875920693
164	0.3871482061
165	0.3867119319
166	0.3862417872
167	0.385704989
168	0.3855723092
169	0.3852787792
170	0.384698533
171	0.3844621717
172	0.3843348053
173	0.3838865033
174	0.3834911412
175	0.3831645961
176	0.3827198507
177	0.3824507171
178	0.3821239886
179	0.3818245381
180	0.3815406276
181	0.3812531772
182	0.3810320838
183	0.3806086882
184	0.3805395109
185	0.3801503562
186	0.379651658
187	0.3793179471
188	0.3790639796
189	0.3786462369
190	0.3782639349
191	0.3778346753
192	0.3774905937
193	0.3772990016
194	0.3772483742
195	0.3771824227
196	0.3767098733
197	0.3764262861
198	0.3762581
199	0.3759471998
200	0.3756354536
201	0.3753591453
202	0.37518892
203	0.3750348308
204	0.3747961947
205	0.3747015899
206	0.3744394267
207	0.3740264054
208	0.3736806668
209	0.3732767525
210	0.3729835225
211	0.3727975941
212	0.3725593963
213	0.3721951595
214	0.371894608
215	0.3716519216
216	0.3715428299
217	0.3712116185
218	0.3709549213
219	0.3707438137
220	0.3706115568
221	0.3703849584
222	0.3702108187
223	0.3699386551
224	0.3696785426
225	0.3694592539
226	0.3690859745
227	0.3689536779
228	0.3686157818
229	0.3683502989
230	0.3681987493
231	0.3679352725
232	0.3674716999
233	0.3674234871
234	0.3671786477
235	0.3669187799
236	0.3666173866
237	0.3665867811
238	0.3663333524
239	0.3661046037
240	0.3658952268
241	0.36560022
242	0.3654813037
243	0.3652516203
244	0.3650695187
245	0.3648747547
246	0.3645262858
247	0.3644985266
248	0.3644146286
249	0.3643945567
250	0.3643193704
251	0.3641577139
252	0.3639719738
253	0.3639533413
254	0.3638119131
255	0.363571244
256	0.3634190523
257	0.3632690814
258	0.3630042772
259	0.3626728844
260	0.3624725623
261	0.362257843
262	0.3620229174
263	0.3617341594
264	0.361571522
