iter	Passed	Remaining
0	7	7076
1	13	6813
2	17	5667
3	21	5286
4	28	5573
5	32	5321
6	43	6241
7	49	6116
8	57	6346
9	61	6071
10	69	6213
11	73	6080
12	84	6446
13	88	6248
14	98	6500
15	103	6338
16	108	6282
17	111	6072
18	120	6210
19	124	6080
20	132	6159
21	134	5991
22	138	5868
23	143	5823
24	146	5706
25	153	5743
26	157	5693
27	162	5656
28	165	5530
29	167	5419
30	174	5444
31	177	5355
32	181	5328
33	185	5257
34	193	5335
35	198	5314
36	206	5380
37	213	5395
38	217	5357
39	221	5306
40	226	5299
41	230	5257
42	239	5325
43	243	5289
44	250	5316
45	263	5462
46	268	5450
47	276	5488
48	287	5577
49	291	5538
50	297	5542
51	301	5497
52	305	5453
53	316	5549
54	323	5554
55	327	5522
56	336	5572
57	343	5577
58	353	5645
59	357	5600
60	366	5644
61	377	5709
62	380	5659
63	384	5629
64	393	5654
65	400	5671
66	407	5677
67	411	5640
68	420	5674
69	428	5686
70	434	5686
71	437	5637
72	443	5635
73	450	5638
74	456	5635
75	463	5640
76	468	5613
77	470	5564
78	485	5655
79	490	5638
80	508	5768
81	515	5767
82	523	5784
83	540	5891
84	550	5921
85	582	6187
86	595	6249
87	662	6868
88	671	6877
89	690	6983
90	697	6970
91	702	6938
92	714	6967
93	724	6981
94	730	6960
95	736	6938
96	745	6938
97	747	6879
98	764	6956
99	770	6930
100	784	6985
101	799	7040
102	807	7030
103	816	7033
104	823	7021
105	829	6996
106	843	7041
107	854	7054
108	863	7060
109	866	7012
110	877	7024
111	884	7011
112	894	7020
113	910	7079
114	914	7034
115	921	7019
116	934	7052
117	939	7025
118	945	7000
119	951	6977
120	956	6944
121	960	6911
122	965	6887
123	969	6849
124	975	6830
125	982	6814
126	987	6785
127	989	6744
128	994	6712
129	999	6692
130	1008	6692
131	1012	6655
132	1017	6634
133	1021	6598
134	1023	6557
135	1028	6535
136	1032	6504
137	1035	6471
138	1039	6436
139	1045	6423
140	1051	6406
141	1055	6377
142	1065	6386
143	1069	6360
144	1075	6339
145	1081	6327
146	1084	6293
147	1091	6286
148	1098	6274
149	1108	6279
150	1117	6285
151	1124	6274
152	1130	6257
153	1137	6250
154	1143	6231
155	1146	6205
156	1157	6216
157	1165	6212
158	1171	6194
159	1175	6173
160	1182	6163
161	1187	6143
162	1191	6120
163	1202	6130
164	1209	6120
165	1216	6110
166	1222	6098
167	1228	6084
168	1233	6065
169	1240	6056
170	1244	6034
171	1250	6021
172	1256	6006
173	1261	5990
174	1267	5975
175	1270	5949
176	1279	5947
177	1289	5954
178	1297	5951
179	1302	5933
180	1306	5912
181	1311	5894
182	1316	5878
183	1332	5909
184	1339	5902
185	1346	5892
186	1352	5881
187	1356	5860
188	1369	5876
189	1378	5877
190	1391	5893
191	1395	5873
192	1402	5862
193	1407	5848
194	1411	5826
195	1413	5799
196	1421	5793
197	1428	5785
198	1438	5788
199	1442	5771
200	1450	5767
201	1457	5756
202	1468	5763
203	1478	5767
204	1483	5752
205	1487	5731
206	1494	5725
207	1499	5708
208	1511	5719
209	1515	5702
210	1523	5695
211	1526	5673
212	1532	5660
213	1537	5645
214	1542	5633
215	1548	5619
216	1551	5597
217	1554	5576
218	1558	5556
219	1563	5543
220	1567	5524
221	1576	5525
222	1580	5505
223	1583	5484
224	1586	5464
225	1590	5448
226	1597	5440
227	1602	5425
228	1609	5420
229	1613	5400
230	1618	5389
231	1622	5370
232	1631	5370
233	1638	5363
234	1659	5402
235	1668	5400
236	1680	5410
237	1683	5388
238	1687	5372
239	1693	5362
240	1698	5347
241	1707	5348
242	1711	5331
243	1716	5319
244	1720	5300
245	1725	5288
246	1730	5276
247	1737	5268
248	1741	5252
249	1744	5232
250	1749	5219
251	1753	5204
252	1758	5192
253	1761	5173
254	1766	5162
255	1774	5158
256	1778	5142
257	1784	5131
258	1788	5118
259	1797	5116
260	1805	5111
261	1813	5109
262	1820	5102
263	1825	5088
264	1828	5072
265	1835	5065
266	1839	5051
267	1851	5057
268	1855	5043
269	1862	5036
270	1867	5023
271	1870	5006
272	1876	4996
273	1881	4984
274	1885	4970
275	1888	4953
276	1893	4943
277	1896	4926
278	1906	4926
279	1913	4919
280	1920	4914
281	1928	4909
282	1931	4893
283	1936	4882
284	1942	4874
285	1949	4866
286	1958	4864
287	1964	4856
288	1969	4844
289	1973	4831
290	1977	4817
291	1984	4811
292	1989	4799
293	2001	4806
294	2010	4804
295	2014	4791
296	2021	4785
297	2026	4773
298	2034	4769
299	2037	4753
300	2047	4754
301	2055	4751
302	2060	4739
303	2063	4725
304	2067	4710
305	2077	4710
306	2079	4695
307	2098	4715
308	2104	4706
309	2110	4698
310	2115	4687
311	2120	4675
312	2125	4665
313	2136	4668
314	2139	4652
315	2144	4641
316	2149	4631
317	2153	4618
318	2160	4613
319	2165	4600
320	2175	4600
321	2188	4607
322	2197	4605
323	2200	4592
324	2210	4590
325	2213	4576
326	2227	4585
327	2234	4577
328	2239	4568
329	2245	4558
330	2248	4544
331	2257	4541
332	2260	4527
333	2270	4527
334	2274	4515
335	2282	4510
336	2284	4493
337	2289	4484
338	2292	4471
339	2300	4466
340	2304	4452
341	2310	4445
342	2314	4432
343	2317	4419
344	2321	4408
345	2324	4393
346	2330	4386
347	2334	4374
348	2337	4360
349	2339	4345
350	2342	4330
351	2344	4315
352	2345	4299
353	2347	4284
354	2349	4269
355	2352	4256
356	2357	4246
357	2359	4231
358	2366	4224
359	2368	4211
360	2370	4196
361	2372	4181
362	2374	4166
363	2375	4151
364	2377	4136
365	2380	4122
366	2384	4112
367	2386	4098
368	2392	4090
369	2395	4078
370	2401	4071
371	2405	4061
372	2408	4048
373	2411	4036
374	2414	4023
375	2419	4014
376	2420	4000
377	2423	3988
378	2425	3974
379	2427	3960
380	2429	3946
381	2430	3932
382	2432	3918
383	2434	3904
384	2435	3890
385	2436	3875
386	2437	3861
387	2439	3847
388	2440	3833
389	2442	3819
390	2443	3805
391	2444	3792
392	2446	3779
393	2448	3766
394	2450	3753
395	2455	3744
396	2457	3731
397	2461	3722
398	2464	3711
399	2465	3698
400	2473	3694
401	2475	3682
402	2476	3669
403	2479	3658
404	2483	3649
405	2484	3635
406	2487	3623
407	2490	3613
408	2494	3604
409	2496	3591
410	2497	3579
411	2504	3573
412	2505	3561
413	2507	3549
414	2512	3542
415	2516	3532
416	2518	3521
417	2520	3509
418	2522	3497
419	2524	3485
420	2528	3477
421	2530	3465
422	2533	3456
423	2536	3445
424	2537	3433
425	2544	3428
426	2547	3418
427	2550	3408
428	2552	3397
429	2556	3388
430	2558	3377
431	2563	3370
432	2566	3360
433	2569	3350
434	2571	3340
435	2573	3328
436	2574	3316
437	2576	3305
438	2577	3294
439	2579	3283
440	2581	3272
441	2582	3260
442	2584	3249
443	2586	3238
444	2586	3226
445	2588	3215
446	2590	3204
447	2591	3192
448	2592	3182
449	2594	3171
450	2597	3162
451	2601	3154
452	2604	3144
453	2608	3136
454	2610	3127
455	2614	3118
456	2617	3109
457	2619	3099
458	2623	3092
459	2625	3082
460	2630	3075
461	2634	3067
462	2640	3062
463	2643	3054
464	2645	3044
465	2649	3035
466	2653	3028
467	2655	3018
468	2658	3009
469	2663	3003
470	2665	2994
471	2671	2988
472	2676	2981
473	2683	2977
474	2690	2973
475	2693	2964
476	2702	2963
477	2706	2955
478	2711	2949
479	2714	2941
480	2722	2937
481	2725	2928
482	2731	2923
483	2734	2915
484	2738	2907
485	2740	2898
486	2743	2890
487	2746	2881
488	2750	2873
489	2753	2866
490	2760	2861
491	2764	2854
492	2767	2846
493	2770	2837
494	2775	2831
495	2778	2823
496	2785	2818
497	2787	2810
498	2791	2802
499	2794	2794
500	2796	2785
