iter	Passed	Remaining
0	1	1461
1	2	1361
2	4	1362
3	5	1386
4	6	1353
5	8	1347
6	9	1288
7	10	1284
8	11	1290
9	12	1241
10	13	1243
11	15	1247
12	16	1246
13	17	1256
14	19	1267
15	20	1271
16	21	1267
17	23	1262
18	24	1261
19	25	1261
20	27	1264
21	28	1263
22	29	1234
23	30	1238
24	31	1240
25	33	1244
26	34	1242
27	35	1230
28	36	1230
29	38	1230
30	39	1229
31	40	1229
32	41	1227
33	43	1225
34	44	1222
35	45	1220
36	46	1218
37	48	1218
38	49	1215
39	50	1213
40	51	1211
41	53	1209
42	54	1207
43	55	1205
44	56	1203
45	57	1201
46	59	1199
47	60	1206
48	62	1212
49	63	1211
50	64	1201
51	65	1198
52	67	1197
53	68	1196
54	69	1199
55	71	1200
56	72	1198
57	73	1196
58	74	1193
59	76	1191
60	77	1192
61	78	1183
62	79	1180
63	80	1178
64	81	1177
65	83	1177
66	84	1179
67	85	1175
68	87	1176
69	88	1182
70	90	1188
71	92	1195
72	94	1202
73	96	1209
74	98	1209
75	99	1208
76	100	1209
77	102	1209
78	103	1210
79	105	1209
80	106	1208
81	108	1211
82	109	1213
83	111	1213
84	112	1212
85	114	1211
86	115	1210
87	116	1209
88	118	1209
89	118	1201
90	120	1200
91	121	1199
92	123	1202
93	124	1201
94	126	1200
95	127	1199
96	128	1198
97	130	1197
98	131	1196
99	132	1196
100	134	1195
101	135	1195
102	137	1197
103	139	1198
104	140	1198
105	141	1197
106	143	1196
107	144	1194
108	145	1189
109	146	1188
110	148	1186
111	149	1184
112	150	1183
113	152	1182
114	153	1183
115	155	1182
116	156	1180
117	157	1179
118	158	1174
119	160	1173
120	161	1171
121	162	1170
122	163	1168
123	165	1167
124	166	1165
125	167	1164
126	169	1164
127	170	1163
128	172	1162
129	173	1160
130	174	1159
131	176	1157
132	177	1156
133	178	1154
134	179	1153
135	181	1152
136	182	1151
137	184	1150
138	185	1149
139	187	1148
140	188	1147
141	189	1145
142	190	1144
143	192	1142
144	193	1141
145	194	1139
146	195	1133
147	196	1132
148	198	1131
149	199	1130
150	201	1130
151	201	1126
152	203	1125
153	204	1124
154	205	1122
155	207	1120
156	208	1119
157	209	1118
158	211	1117
159	212	1116
160	213	1114
161	215	1112
162	216	1111
163	217	1109
164	218	1107
165	220	1105
166	221	1103
167	222	1101
168	223	1099
169	224	1097
170	226	1095
171	227	1094
172	229	1095
173	230	1095
174	233	1099
175	234	1099
176	236	1098
177	237	1096
178	238	1095
179	240	1094
180	241	1093
181	243	1092
182	244	1091
183	245	1089
184	247	1090
185	249	1089
186	250	1088
187	251	1087
188	253	1086
189	254	1085
190	255	1083
191	257	1083
192	259	1084
193	261	1085
194	262	1084
195	265	1089
196	266	1088
197	268	1087
198	269	1086
199	271	1084
200	272	1083
201	273	1082
202	275	1082
203	277	1082
204	278	1081
205	280	1080
206	281	1078
207	282	1077
208	284	1076
209	285	1075
210	287	1075
211	289	1076
212	291	1076
213	292	1075
214	294	1075
215	296	1074
216	298	1078
217	300	1078
218	301	1076
219	303	1075
220	304	1074
221	307	1076
222	308	1075
223	310	1074
224	311	1072
225	312	1070
226	313	1069
227	315	1067
228	316	1065
229	317	1064
230	319	1062
231	320	1061
232	322	1061
233	327	1072
234	329	1071
235	330	1070
236	332	1069
237	333	1068
238	335	1067
239	336	1066
240	338	1065
241	339	1063
242	340	1061
243	342	1059
244	343	1058
245	344	1056
246	345	1054
247	347	1052
248	348	1050
249	349	1048
250	350	1046
251	352	1045
252	353	1043
253	354	1041
254	355	1040
255	357	1038
256	358	1036
257	359	1034
258	361	1032
259	362	1031
260	363	1029
261	364	1027
262	365	1025
263	367	1023
264	368	1021
265	369	1019
266	370	1017
267	371	1015
268	372	1013
269	373	1009
270	374	1007
271	375	1005
272	376	1003
273	378	1001
274	379	999
275	380	997
276	381	995
277	382	993
278	383	991
279	384	989
280	386	988
281	387	986
282	388	984
283	389	982
284	390	980
285	392	978
286	393	976
287	394	974
288	395	972
289	396	971
290	397	969
291	398	967
292	400	965
293	401	963
294	401	959
295	402	957
296	404	956
297	404	953
298	406	952
299	407	950
300	408	949
301	409	947
302	411	945
303	412	944
304	413	943
305	415	941
306	416	939
307	417	938
308	420	939
309	421	938
310	424	939
311	425	938
312	427	937
313	428	936
314	430	935
315	431	934
316	433	933
317	434	931
318	435	930
319	437	928
320	438	927
321	439	925
322	440	923
323	442	922
324	443	921
325	445	920
326	446	918
327	447	917
328	449	916
329	450	914
330	451	913
331	453	912
332	454	910
333	455	909
334	457	907
335	458	906
336	460	905
337	461	903
338	462	902
339	464	900
340	465	899
341	466	897
342	467	896
343	469	894
344	470	893
345	471	892
346	473	890
347	474	889
348	475	887
349	477	886
350	478	884
351	479	883
352	481	882
353	482	880
354	483	879
355	485	877
356	486	876
357	487	875
358	489	873
359	490	872
360	491	870
361	493	869
362	494	868
363	495	866
364	497	864
365	498	863
366	499	861
367	500	860
368	502	858
369	503	857
370	505	856
371	506	854
372	507	853
373	509	852
374	510	850
375	511	849
376	513	848
377	514	846
378	516	845
379	517	844
380	518	843
381	520	841
382	521	840
383	523	839
384	524	837
385	525	836
386	527	835
387	528	833
388	529	832
389	530	829
390	531	828
391	533	827
392	534	825
393	536	824
394	537	823
395	538	822
396	540	820
397	541	819
398	543	818
399	544	816
400	545	815
401	547	814
402	548	813
403	550	811
404	551	810
405	553	809
406	554	808
407	555	806
408	556	804
409	558	803
410	559	801
411	560	800
412	562	799
413	563	797
414	564	796
415	566	795
416	567	793
417	569	792
418	570	791
419	571	789
420	573	788
421	574	786
422	575	784
423	577	784
424	578	783
425	580	781
426	581	780
427	583	779
428	584	777
429	585	776
430	587	775
431	588	774
432	590	773
433	591	771
434	593	770
435	594	769
436	596	768
437	598	767
438	600	767
439	602	766
440	603	765
441	604	763
442	606	762
443	607	761
444	609	759
445	610	758
446	611	757
447	613	756
448	615	755
449	617	754
450	618	753
451	620	751
452	621	750
453	622	749
454	624	747
455	625	746
456	627	745
457	628	743
458	630	742
459	631	741
460	632	740
461	633	738
462	635	736
463	636	735
464	638	734
465	639	733
466	640	730
467	641	729
468	643	728
469	644	727
470	646	725
471	647	724
472	649	723
473	650	721
474	651	720
475	653	719
476	654	717
477	656	716
478	657	715
479	658	713
480	660	712
481	661	711
482	663	709
483	664	708
484	665	707
485	667	705
486	668	704
487	670	703
488	671	701
489	673	700
490	674	699
491	675	697
492	677	696
493	678	695
494	680	693
495	681	692
496	682	691
497	684	689
498	685	688
499	687	687
500	688	685
501	690	684
502	691	683
503	692	681
504	694	680
505	695	679
506	696	677
507	698	676
508	699	675
509	701	673
510	702	672
511	704	671
512	705	669
513	707	668
514	708	667
515	709	665
516	711	664
517	712	663
518	714	661
519	715	660
520	716	659
521	718	657
522	719	656
523	720	654
524	722	653
525	723	652
526	725	650
527	726	649
528	728	648
529	729	646
530	730	645
531	731	643
532	733	642
533	734	640
534	735	639
535	737	638
536	738	636
537	740	635
538	741	634
539	742	632
540	744	631
541	745	630
542	747	628
543	748	627
544	750	626
545	751	625
546	753	624
547	755	622
548	756	621
549	758	620
550	759	618
551	761	617
552	762	616
553	764	615
554	765	613
555	767	612
556	769	611
557	771	611
558	772	609
559	774	608
560	776	607
561	777	606
562	778	604
563	780	603
564	781	601
565	783	600
566	784	599
567	786	597
568	787	596
569	788	595
570	790	593
571	791	592
572	793	591
573	794	589
574	796	588
575	797	587
576	799	585
577	800	584
578	801	583
579	803	581
580	804	580
581	806	579
582	807	577
583	809	576
584	810	574
585	811	573
586	813	572
587	814	570
588	816	569
589	817	568
590	819	566
591	820	565
592	821	564
593	823	562
594	824	561
595	826	560
596	827	558
597	829	557
598	830	555
599	831	554
600	833	553
601	834	551
602	840	553
603	841	551
604	843	550
605	844	549
606	846	547
607	847	546
608	848	545
609	850	543
610	851	542
611	853	540
612	854	539
613	856	538
614	857	536
615	858	535
616	860	533
617	861	532
618	863	531
619	864	529
620	866	528
621	867	527
622	868	525
623	870	524
624	871	523
625	873	521
626	874	520
627	876	518
628	877	517
629	878	516
630	880	514
631	881	513
632	883	512
633	884	510
634	886	509
635	887	507
636	888	506
637	890	505
638	891	503
639	893	502
640	894	500
641	895	499
642	897	498
643	898	496
644	900	495
645	901	494
646	902	492
647	904	491
648	905	489
649	907	488
650	908	487
651	909	485
652	911	484
653	912	482
654	914	481
655	915	480
656	917	478
657	918	477
658	920	476
659	921	474
660	923	473
661	924	472
662	926	471
663	928	470
664	930	468
665	932	467
666	933	466
667	935	464
668	936	463
669	938	462
670	940	461
671	942	460
672	943	458
673	945	457
674	947	456
675	949	454
676	951	453
677	952	452
678	954	451
679	955	449
680	956	448
681	958	446
682	959	445
683	961	444
684	962	442
685	965	441
686	966	440
687	968	439
688	969	437
689	971	436
690	972	434
691	973	433
692	975	432
693	976	430
694	978	429
695	979	428
696	981	426
697	982	425
698	984	423
699	985	422
700	987	421
701	988	419
702	990	418
703	991	416
704	992	415
705	993	413
706	995	412
707	996	411
708	998	409
709	999	408
710	1001	406
711	1002	405
712	1004	404
713	1005	402
714	1007	401
715	1008	400
716	1010	398
717	1011	397
718	1013	395
719	1014	394
720	1016	393
721	1017	391
722	1019	390
723	1020	389
724	1022	387
725	1023	386
726	1025	384
727	1026	383
728	1028	382
729	1029	380
730	1031	379
731	1032	378
732	1034	376
733	1035	375
734	1037	373
735	1038	372
736	1040	371
737	1041	369
738	1043	368
739	1044	367
740	1046	365
741	1047	364
742	1049	362
743	1050	361
744	1051	360
745	1053	358
746	1054	357
747	1056	355
748	1057	354
749	1059	353
750	1060	351
751	1061	350
752	1063	348
753	1064	347
754	1066	346
755	1067	344
756	1069	343
757	1070	341
758	1071	340
759	1073	338
760	1074	337
761	1076	336
762	1077	334
763	1078	333
764	1080	331
765	1081	330
766	1083	329
767	1084	327
768	1086	326
769	1087	324
770	1089	323
771	1090	322
772	1092	320
773	1093	319
774	1095	317
775	1096	316
776	1098	315
777	1099	313
778	1101	312
779	1103	311
780	1104	309
781	1106	308
782	1107	306
783	1108	305
784	1110	304
785	1111	302
786	1113	301
787	1115	300
788	1117	298
789	1118	297
790	1120	295
791	1121	294
792	1123	293
793	1124	291
794	1126	290
795	1127	288
796	1128	287
797	1130	286
798	1131	284
799	1133	283
800	1134	281
801	1136	280
802	1137	279
803	1139	277
804	1140	276
805	1142	274
806	1143	273
807	1144	272
808	1146	270
809	1147	269
810	1149	267
811	1150	266
812	1151	264
813	1152	263
814	1154	261
815	1155	260
816	1156	259
817	1158	257
818	1159	256
819	1160	254
820	1161	253
821	1163	251
822	1164	250
823	1166	249
824	1167	247
825	1169	246
826	1170	244
827	1171	243
828	1173	242
829	1174	240
830	1176	239
831	1177	237
832	1179	236
833	1180	234
834	1181	233
835	1183	232
836	1184	230
837	1186	229
838	1187	227
839	1189	226
840	1190	225
841	1191	223
842	1193	222
843	1194	220
844	1196	219
845	1197	217
846	1199	216
847	1200	215
848	1201	213
849	1203	212
850	1204	210
851	1206	209
852	1207	208
853	1208	206
854	1210	205
855	1211	203
856	1213	202
857	1214	201
858	1215	199
859	1217	198
860	1218	196
861	1220	195
862	1221	193
863	1223	192
864	1224	191
865	1226	189
866	1227	188
867	1228	186
868	1230	185
869	1231	184
870	1232	182
871	1234	181
872	1235	179
873	1237	178
874	1238	176
875	1239	175
876	1241	174
877	1242	172
878	1244	171
879	1245	169
880	1247	168
881	1248	167
882	1249	165
883	1251	164
884	1252	162
885	1254	161
886	1255	159
887	1257	158
888	1258	157
889	1260	155
890	1261	154
891	1262	152
892	1264	151
893	1265	150
894	1267	148
895	1268	147
896	1270	145
897	1271	144
898	1273	143
899	1274	141
900	1276	140
901	1278	138
902	1279	137
903	1281	136
904	1282	134
905	1283	133
906	1285	131
907	1286	130
908	1288	128
909	1289	127
910	1291	126
911	1292	124
912	1294	123
913	1297	122
914	1298	120
915	1300	119
916	1301	117
917	1302	116
918	1304	114
919	1305	113
920	1307	112
921	1308	110
922	1311	109
923	1312	107
924	1313	106
925	1315	105
926	1316	103
927	1318	102
928	1319	100
929	1320	99
930	1322	98
931	1323	96
932	1325	95
933	1326	93
934	1328	92
935	1329	90
936	1331	89
937	1332	88
938	1334	86
939	1335	85
940	1336	83
941	1338	82
942	1339	80
943	1341	79
944	1342	78
945	1343	76
946	1345	75
947	1346	73
948	1347	72
949	1349	71
950	1350	69
951	1352	68
952	1353	66
953	1355	65
954	1356	63
955	1358	62
956	1359	61
957	1360	59
958	1362	58
959	1363	56
960	1365	55
961	1366	53
962	1367	52
963	1369	51
964	1370	49
965	1372	48
966	1373	46
967	1375	45
968	1376	44
969	1378	42
970	1379	41
971	1381	39
972	1382	38
973	1384	36
974	1385	35
975	1386	34
976	1388	32
977	1389	31
978	1391	29
979	1392	28
980	1394	27
981	1395	25
982	1397	24
983	1398	22
984	1400	21
985	1401	19
986	1403	18
987	1404	17
988	1406	15
989	1407	14
